Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Emission Class
PORSCHE,PANAMERA 4,FULL-SIZE,3.6,6,AM7,Z,13.1,8.7,11.1,25,255,HIGH
PORSCHE,PANAMERA 4S,FULL-SIZE,3.0,6,AM7,Z,13.4,8.8,11.3,25,260,HIGH
PORSCHE,PANAMERA 4S EXECUTIVE,FULL-SIZE,3.0,6,AM7,Z,13.7,8.9,11.5,25,264,HIGH
PORSCHE,PANAMERA GTS,FULL-SIZE,4.8,8,AM7,Z,15.1,9.7,12.7,22,292,HIGH
PORSCHE,PANAMERA S,FULL-SIZE,3.0,6,AM7,Z,13.4,8.8,11.3,25,260,HIGH
PORSCHE,PANAMERA TURBO,FULL-SIZE,4.8,8,AM7,Z,15.3,9.7,12.8,22,294,HIGH
PORSCHE,PANAMERA TURBO EXECUTIVE,FULL-SIZE,4.8,8,AM7,Z,15.4,9.8,12.9,22,297,HIGH
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.1,12.0,14.8,19,340,HIGH
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A8,X,15.8,10.9,13.6,21,313,HIGH
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.6,12.7,15.4,18,354,HIGH
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A8,X,16.3,11.5,14.1,20,324,HIGH
RAM,1500 4X4 DIESEL,PICKUP TRUCK - STANDARD,3.0,6,A8,D,12.1,8.8,10.6,27,286,HIGH
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,X,14.6,10.1,12.6,22,290,HIGH
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,E,20.5,14.5,17.8,16,285,HIGH
RAM,1500 DIESEL,PICKUP TRUCK - STANDARD,3.0,6,A8,D,11.6,8.4,10.2,28,275,HIGH
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,X,13.9,9.5,11.9,24,274,HIGH
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,E,19.4,13.6,16.8,17,269,HIGH
RAM,1500 HFE,PICKUP TRUCK - STANDARD,3.6,6,A8,X,12.9,9.3,11.3,25,260,HIGH
RAM,CARGO VAN FFV,MINIVAN,3.6,6,A6,X,13.3,9.1,11.4,25,262,HIGH
RAM,CARGO VAN FFV,MINIVAN,3.6,6,A6,E,18.6,12.7,15.9,18,254,HIGH
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,A8,Z,19.1,12.3,16.0,18,368,HIGH
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12,A8,Z,19.1,12.3,16.0,18,368,HIGH
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,A8,Z,20.7,12.8,17.1,17,393,HIGH
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12,A8,Z,20.7,12.8,17.1,17,393,HIGH
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12,A8,Z,20.7,12.7,17.1,17,393,HIGH
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12,A8,Z,20.7,12.7,17.1,17,393,HIGH
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12,A8,Z,18.7,11.8,15.6,18,359,HIGH
SCION,FR-S,MINICOMPACT,2.0,4,AS6,Z,9.6,7.0,8.4,34,193,MODERATE
SCION,FR-S,MINICOMPACT,2.0,4,M6,Z,10.9,7.8,9.5,30,218,HIGH
SCION,iQ,MINICOMPACT,1.3,4,AV,X,6.6,5.7,6.2,46,143,MODERATE
SCION,tC,COMPACT,2.5,4,AS6,X,10.2,7.5,9.0,31,207,HIGH
SCION,tC,COMPACT,2.5,4,M6,X,10.2,7.6,9.0,31,207,HIGH
SCION,xB,STATION WAGON - SMALL,2.4,4,AS4,X,10.9,8.6,9.9,29,228,HIGH
SCION,xB,STATION WAGON - SMALL,2.4,4,M5,X,10.9,8.6,9.9,29,228,HIGH
SCION,xD,SUBCOMPACT,1.8,4,A4,X,8.8,7.1,8.0,35,184,MODERATE
SCION,xD,SUBCOMPACT,1.8,4,M5,X,8.6,7.1,7.9,36,182,MODERATE
SMART,FORTWO CABRIOLET,TWO-SEATER,1.0,3,AM5,Z,6.9,5.7,6.4,44,147,MODERATE
SMART,FORTWO COUPE,TWO-SEATER,1.0,3,AM5,Z,6.9,5.7,6.4,44,147,MODERATE
SRT,VIPER COUPE,TWO-SEATER,8.4,10,M6,Z,20.0,13.0,16.9,17,389,HIGH
SRT,VIPER GTS COUPE,TWO-SEATER,8.4,10,M6,Z,20.0,13.0,16.9,17,389,HIGH
SUBARU,BRZ,MINICOMPACT,2.0,4,AS6,Z,9.6,7.1,8.5,33,196,MODERATE
SUBARU,BRZ,MINICOMPACT,2.0,4,M6,Z,11.0,7.9,9.6,29,221,HIGH
SUBARU,FORESTER AWD,SUV - SMALL,2.0,4,AV,Z,10.2,8.6,9.5,30,218,HIGH
SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,AV,X,9.6,7.4,8.6,33,198,MODERATE
SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,M6,X,10.9,8.3,9.7,29,223,HIGH
SUBARU,IMPREZA AWD,COMPACT,2.0,4,AV,X,8.7,6.6,7.8,36,179,MODERATE
SUBARU,IMPREZA AWD,COMPACT,2.0,4,M5,X,9.6,7.1,8.5,33,196,MODERATE
SUBARU,IMPREZA AWD,COMPACT,2.5,4,M5,Z,12.6,9.5,11.2,25,258,HIGH
SUBARU,IMPREZA AWD,COMPACT,2.5,4,M6,Z,14.2,10.4,12.5,23,288,HIGH
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4,AV,X,8.7,6.6,7.8,36,179,MODERATE
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4,M5,X,9.6,7.1,8.5,33,196,MODERATE
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.5,4,M5,Z,12.6,9.5,11.2,25,258,HIGH
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.5,4,M6,Z,14.2,10.4,12.5,23,288,HIGH
SUBARU,LEGACY AWD,MID-SIZE,2.5,4,AV,X,9.7,7.3,8.6,33,198,MODERATE
SUBARU,LEGACY AWD,MID-SIZE,2.5,4,M6,X,11.3,8.2,9.9,29,228,HIGH
SUBARU,LEGACY AWD,MID-SIZE,3.6,6,AS5,X,13.3,9.5,11.6,24,267,HIGH
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4,AV,X,9.9,7.8,9.0,31,207,HIGH
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4,M6,X,10.8,8.5,9.8,29,225,HIGH
SUBARU,OUTBACK AWD,SUV - SMALL,3.6,6,AS5,X,13.4,9.7,11.7,24,269,HIGH
SUBARU,TRIBECA AWD,SUV - SMALL,3.6,6,AS5,X,14.7,11.1,13.1,22,301,HIGH
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4,AV,X,9.5,7.2,8.5,33,196,MODERATE
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4,M5,X,10.2,8.0,9.2,31,212,HIGH
SUBARU,XV CROSSTREK HYBRID AWD,SUV - SMALL,2.0,4,AV,X,8.1,7.2,7.7,37,177,MODERATE
TOYOTA,4RUNNER (Part-Time 4WD),SUV - STANDARD,4.0,6,AS5,X,14.3,11.1,12.9,22,297,HIGH
TOYOTA,4RUNNER 4WD,SUV - STANDARD,4.0,6,AS5,X,14.3,11.1,12.9,22,297,HIGH
TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,X,11.3,7.6,9.6,29,221,HIGH
TOYOTA,CAMRY,MID-SIZE,2.5,4,AS6,X,9.5,6.6,8.2,34,189,MODERATE
TOYOTA,CAMRY,MID-SIZE,3.5,6,AS6,X,11.1,7.8,9.6,29,221,HIGH
TOYOTA,CAMRY HYBRID LE,MID-SIZE,2.5,4,AV,X,5.5,5.9,5.7,50,131,MODERATE
TOYOTA,CAMRY HYBRID XLE/SE,MID-SIZE,2.5,4,AV,X,5.8,6.2,6.0,47,138,MODERATE
TOYOTA,COROLLA,MID-SIZE,1.8,4,A4,X,8.6,6.5,7.7,37,177,MODERATE
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,8.1,6.3,7.3,39,168,MODERATE
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,X,8.0,5.9,7.1,40,163,MODERATE
TOYOTA,COROLLA,MID-SIZE,1.8,4,M6,X,8.3,6.3,7.4,38,170,MODERATE
TOYOTA,COROLLA LE ECO (1-mode),MID-SIZE,1.8,4,AV,X,7.7,5.6,6.8,42,156,MODERATE
TOYOTA,COROLLA LE ECO (2-mode),MID-SIZE,1.8,4,AV,X,7.8,5.9,6.9,41,159,MODERATE
TOYOTA,COROLLA MATRIX,STATION WAGON - SMALL,1.8,4,A4,X,9.4,7.5,8.5,33,196,MODERATE
TOYOTA,COROLLA MATRIX,STATION WAGON - SMALL,1.8,4,M5,X,8.9,7.3,8.2,34,189,MODERATE
TOYOTA,FJ CRUISER 4WD,SUV - SMALL,4.0,6,A5,X,14.3,11.2,12.9,22,297,HIGH
TOYOTA,FJ CRUISER 4WD,SUV - SMALL,4.0,6,M6,X,15.4,12.1,13.9,20,320,HIGH
TOYOTA,HIGHLANDER,SUV - SMALL,2.7,4,AS6,X,11.7,8.6,10.3,27,237,HIGH
TOYOTA,HIGHLANDER,SUV - SMALL,3.5,6,AS6,X,12.6,9.4,11.2,25,258,HIGH
TOYOTA,HIGHLANDER AWD,SUV - STANDARD,3.5,6,AS6,X,13.0,9.7,11.5,25,264,HIGH
TOYOTA,HIGHLANDER HYBRID AWD,SUV - STANDARD,3.5,6,AV6,X,8.0,8.6,8.3,34,191,MODERATE
TOYOTA,HIGHLANDER HYBRID AWD LE,SUV - STANDARD,3.5,6,AV6,X,7.9,8.6,8.2,34,189,MODERATE
TOYOTA,PRIUS,MID-SIZE,1.8,4,AV,X,4.7,4.9,4.8,59,110,LOW
TOYOTA,PRIUS c,COMPACT,1.5,4,AV,X,4.6,4.9,4.7,60,108,LOW
TOYOTA,PRIUS v,STATION WAGON - MID-SIZE,1.8,4,AV,X,5.3,5.8,5.5,51,126,MODERATE
TOYOTA,RAV4,SUV - SMALL,2.5,4,AS6,X,10.0,7.6,8.9,32,205,HIGH
TOYOTA,RAV4 AWD,SUV - SMALL,2.5,4,AS6,X,10.4,8.1,9.4,30,216,HIGH
TOYOTA,RAV4 LIMITED AWD,SUV - SMALL,2.5,4,AS6,X,10.6,8.2,9.5,30,218,HIGH
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8,AS6,X,19.0,13.9,16.7,17,384,HIGH
TOYOTA,SIENNA,MINIVAN,3.5,6,AS6,X,12.9,9.4,11.3,25,260,HIGH
TOYOTA,SIENNA AWD,MINIVAN,3.5,6,AS6,X,14.2,10.3,12.4,23,285,HIGH
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,A4,X,12.2,9.3,10.9,26,251,HIGH
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,M5,X,11.3,8.9,10.2,28,235,HIGH
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,4.0,6,M6,X,14.5,11.3,13.1,22,301,HIGH
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,A4,X,13.1,10.5,11.9,24,274,HIGH
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,M5,X,12.8,10.6,11.8,24,271,HIGH
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,X,14.7,11.5,13.3,21,306,HIGH
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4.0,6,M6,X,15.3,12.3,14.0,20,322,HIGH
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.0,6,AS5,X,14.8,11.8,13.5,21,310,HIGH
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.6,8,AS6,X,15.9,12.3,14.3,20,329,HIGH
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,17.6,12.9,15.5,18,356,HIGH
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8,AS6,X,16.9,12.8,15.1,19,347,HIGH
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,18.1,13.9,16.2,17,373,HIGH
TOYOTA,VENZA,SUV - SMALL,2.7,4,AS6,X,11.4,8.2,10.0,28,230,HIGH
TOYOTA,VENZA,SUV - SMALL,3.5,6,AS6,X,12.6,9.1,11.0,26,253,HIGH
TOYOTA,VENZA 4WD,SUV - SMALL,2.7,4,AS6,X,11.6,8.5,10.2,28,235,HIGH
TOYOTA,VENZA 4WD,SUV - SMALL,3.5,6,AS6,X,12.9,9.4,11.3,25,260,HIGH
TOYOTA,YARIS,COMPACT,1.5,4,A4,X,7.9,6.6,7.3,39,168,MODERATE
TOYOTA,YARIS,COMPACT,1.5,4,M5,X,7.8,6.3,7.1,40,163,MODERATE
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,A6,X,9.5,7.2,8.5,33,196,MODERATE
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M5,X,9.9,7.2,8.7,32,200,MODERATE
VOLKSWAGEN,BEETLE,COMPACT,2.0,4,A6,Z,10.3,7.7,9.1,31,209,HIGH
VOLKSWAGEN,BEETLE,COMPACT,2.0,4,M6,Z,10.8,7.6,9.4,30,216,HIGH
VOLKSWAGEN,BEETLE,COMPACT,2.5,5,A6,X,10.9,8.4,9.8,29,225,HIGH
VOLKSWAGEN,BEETLE,COMPACT,2.5,5,M5,X,11.2,7.7,9.6,29,221,HIGH
VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4,A6,D,8.4,5.9,7.4,38,200,MODERATE
VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4,M6,D,8.8,6.1,7.7,37,208,HIGH
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,1.8,4,A6,X,9.8,7.3,8.7,32,200,MODERATE
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4,A6,Z,10.3,8.1,9.3,30,214,HIGH
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4,M6,Z,10.8,7.6,9.4,30,216,HIGH
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.5,5,A6,X,11.2,8.7,10.1,28,232,HIGH
VOLKSWAGEN,CC,COMPACT,2.0,4,A6,Z,11.1,7.9,9.7,29,223,HIGH
VOLKSWAGEN,CC,COMPACT,2.0,4,M6,Z,11.6,7.7,9.8,29,225,HIGH
VOLKSWAGEN,CC 4MOTION,COMPACT,3.6,6,A6,Z,14.3,9.8,12.3,23,283,HIGH
VOLKSWAGEN,EOS,SUBCOMPACT,2.0,4,A6,Z,10.9,8.0,9.6,29,221,HIGH
VOLKSWAGEN,GOLF WAGON,STATION WAGON - SMALL,2.5,5,A6,X,11.0,7.7,9.5,30,218,HIGH
VOLKSWAGEN,GOLF WAGON,STATION WAGON - SMALL,2.5,5,M5,X,11.2,7.3,9.4,30,216,HIGH
VOLKSWAGEN,GOLF WAGON TDI (modified),STATION WAGON - SMALL,2.0,4,A6,D,8.1,6.4,7.4,38,198,MODERATE
VOLKSWAGEN,GOLF WAGON TDI (modified),STATION WAGON - SMALL,2.0,4,M6,D,8.3,6.0,7.3,39,196,MODERATE
VOLKSWAGEN,JETTA,COMPACT,1.8,4,A6,X,9.5,6.7,8.2,34,189,MODERATE
VOLKSWAGEN,JETTA,COMPACT,1.8,4,M5,X,9.4,6.7,8.2,34,189,MODERATE
VOLKSWAGEN,JETTA,COMPACT,2.0,4,A6,X,10.6,8.0,9.4,30,216,HIGH
VOLKSWAGEN,JETTA,COMPACT,2.0,4,M5,X,10.4,7.2,9.0,31,207,HIGH
VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4,A6,D,8.1,6.4,7.4,38,198,MODERATE
VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4,M6,D,8.3,6.0,7.3,39,196,MODERATE
VOLKSWAGEN,JETTA GLI,COMPACT,2.0,4,A6,Z,10.2,7.5,9.0,31,207,HIGH
VOLKSWAGEN,JETTA GLI,COMPACT,2.0,4,M6,Z,10.6,7.4,9.2,31,212,HIGH
VOLKSWAGEN,JETTA TURBO HYBRID,COMPACT,1.4,4,AM7,Z,5.6,5.2,5.4,52,124,MODERATE
VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,A6,X,9.9,6.9,8.6,33,198,MODERATE
VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,M5,X,10.0,6.9,8.6,33,198,MODERATE
VOLKSWAGEN,PASSAT,MID-SIZE,2.5,5,A6,X,11.0,8.0,9.7,29,223,HIGH
VOLKSWAGEN,PASSAT,MID-SIZE,2.5,5,M5,X,11.4,7.8,9.8,29,225,HIGH
VOLKSWAGEN,PASSAT,MID-SIZE,3.6,6,A6,Z,12.4,8.8,10.8,26,248,HIGH
VOLKSWAGEN,PASSAT TDI (modified),MID-SIZE,2.0,4,A6,D,7.8,5.9,6.9,41,180,MODERATE
VOLKSWAGEN,ROUTAN,MINIVAN,3.6,6,A6,X,14.2,9.5,12.1,23,278,HIGH
VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,A6,Z,11.7,9.5,10.7,26,246,HIGH
VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,M6,Z,13.6,9.2,11.6,24,267,HIGH
VOLKSWAGEN,TIGUAN 4MOTION,SUV - SMALL,2.0,4,A6,Z,11.7,9.4,10.7,26,246,HIGH
VOLKSWAGEN,TOUAREG,SUV - STANDARD,3.6,6,AS8,Z,14.4,10.4,12.6,22,296,HIGH
VOLKSWAGEN,TOUAREG TDI (modified),SUV - STANDARD,3.0,6,AS8,D,11.8,8.1,10.2,28,277,HIGH
VOLVO,S60,COMPACT,2.5,5,AS6,X,11.3,7.8,9.7,29,223,HIGH
VOLVO,S60 AWD,COMPACT,2.5,5,AS6,X,11.6,8.3,10.1,28,232,HIGH
VOLVO,S60 AWD,COMPACT,3.0,6,AS6,X,13.2,9.5,11.5,25,264,HIGH
VOLVO,S80,MID-SIZE,3.2,6,AS6,X,11.9,8.1,10.2,28,235,HIGH
VOLVO,S80 AWD,MID-SIZE,3.0,6,AS6,X,13.2,9.5,11.5,25,264,HIGH
VOLVO,XC60,SUV - SMALL,3.2,6,AS6,X,13.0,8.9,11.2,25,258,HIGH
VOLVO,XC60 AWD,SUV - SMALL,3.0,6,AS6,X,13.4,9.8,11.8,24,271,HIGH
VOLVO,XC60 AWD,SUV - SMALL,3.2,6,AS6,X,13.2,9.5,11.5,25,264,HIGH
VOLVO,XC70 AWD,SUV - SMALL,3.0,6,AS6,X,13.4,9.8,11.8,24,271,HIGH
VOLVO,XC70 AWD,SUV - SMALL,3.2,6,AS6,X,12.9,9.3,11.3,25,260,HIGH
VOLVO,XC90 AWD,SUV - STANDARD,3.2,6,AS6,X,14.9,10.2,12.8,22,294,HIGH
ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.7,6.7,8.3,34,191,MODERATE
ACURA,ILX,COMPACT,2.4,4,M6,Z,10.8,7.4,9.3,30,214,HIGH
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6.0,6.1,6.1,46,140,MODERATE
ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255,HIGH
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244,HIGH
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10.0,28,230,HIGH
ACURA,RLX HYBRID,MID-SIZE,3.5,6,AM7,Z,8.0,7.5,7.7,37,177,MODERATE
ACURA,TLX,COMPACT,2.4,4,AM8,Z,9.6,6.6,8.3,34,191,MODERATE
ACURA,TLX,COMPACT,3.5,6,AS9,Z,11.2,6.9,9.2,31,212,HIGH
ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Z,11.2,7.5,9.6,29,221,HIGH
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,193,MODERATE
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359,HIGH
ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12,A8,Z,16.8,10.9,14.2,20,327,HIGH
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,HIGH
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356,HIGH
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,HIGH
ASTON MARTIN,V8 VANTAGE S,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356,HIGH
ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12,AM7,Z,19.5,12.8,16.5,17,379,HIGH
ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,HIGH
ASTON MARTIN,VANTAGE GT,TWO-SEATER,4.7,8,M6,Z,18.1,12.3,15.5,18,356,HIGH
ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12,A8,Z,17.6,11.4,14.8,19,340,HIGH
AUDI,A3,SUBCOMPACT,1.8,4,AM6,Z,10.0,7.1,8.7,32,200,MODERATE
AUDI,A3 TDI (modified),SUBCOMPACT,2.0,4,AM6,D,7.6,5.5,6.5,43,177,MODERATE
AUDI,A3 QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,9.8,7.2,8.6,33,198,MODERATE
AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,10.1,7.5,8.9,32,205,HIGH
AUDI,A4,COMPACT,2.0,4,AV8,Z,9.9,7.6,8.9,32,205,HIGH
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Z,11.0,7.8,9.6,29,221,HIGH
AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,10.6,7.3,9.1,31,209,HIGH
AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Z,11.2,8.4,9.9,28,228,HIGH
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.0,7.8,9.6,29,221,HIGH
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,10.6,7.3,9.1,31,209,HIGH
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Z,11.3,8.0,9.8,29,225,HIGH
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Z,12.0,8.1,10.3,27,237,HIGH
AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Z,12.8,8.6,10.9,26,251,HIGH
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217,HIGH
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Z,13.1,8.5,11.0,26,253,HIGH
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.2,8.1,35,217,HIGH
AUDI,A8,MID-SIZE,3.0,6,AS8,Z,12.6,8.0,10.5,27,242,HIGH
AUDI,A8,MID-SIZE,4.0,8,AS8,Z,12.9,8.0,10.7,26,246,HIGH
AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224,HIGH
AUDI,A8L,FULL-SIZE,3.0,6,AS8,Z,12.6,8.0,10.5,27,242,HIGH
AUDI,A8L,FULL-SIZE,4.0,8,AS8,Z,13.2,8.3,11.0,26,258,HIGH
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,17.8,10.8,14.6,19,344,HIGH
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS8,D,9.8,6.5,8.4,34,224,HIGH
AUDI,Q3,COMPACT,2.0,4,AS6,Z,12.0,8.2,10.3,27,237,HIGH
AUDI,Q3 QUATTRO,COMPACT,2.0,4,AS6,Z,11.9,8.4,10.3,27,237,HIGH
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Z,12.0,8.5,10.4,27,239,HIGH
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Z,13.2,9.2,11.4,25,262,HIGH
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS8,D,10.2,7.8,9.0,31,244,HIGH
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Z,9.8,7.9,8.9,32,205,HIGH
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Z,15.2,11.0,13.3,21,306,HIGH
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS8,D,12.4,8.7,10.7,26,290,HIGH
AUDI,R8,TWO-SEATER,4.2,8,AM7,Z,17.3,10.4,14.2,20,327,HIGH
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,20.5,11.7,16.6,17,382,HIGH
AUDI,R8,TWO-SEATER,5.2,10,AM7,Z,18.2,10.6,14.8,19,347,HIGH
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,19.9,12.0,16.4,17,377,HIGH
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,AM7,Z,17.3,10.4,14.2,20,327,HIGH
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,20.5,11.7,16.6,17,382,HIGH
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,AM7,Z,18.2,10.6,14.8,19,347,HIGH
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,19.9,12.0,16.4,17,377,HIGH
AUDI,RS 5,SUBCOMPACT,4.2,8,AM7,Z,14.9,10.1,12.8,22,294,HIGH
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,AM7,Z,14.8,10.6,12.9,22,297,HIGH
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Z,16.6,9.4,13.3,21,313,HIGH
AUDI,S3,SUBCOMPACT,2.0,4,AM6,Z,10.1,7.7,9.0,31,207,HIGH
AUDI,S4,COMPACT,3.0,6,AM7,Z,13.0,8.5,11.0,26,253,HIGH
AUDI,S4,COMPACT,3.0,6,M6,Z,13.8,9.0,11.7,24,269,HIGH
AUDI,S5,SUBCOMPACT,3.0,6,AM7,Z,13.0,8.5,11.0,26,253,HIGH
AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,13.8,9.0,11.7,24,269,HIGH
AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6,AM7,Z,13.3,9.1,11.4,25,262,HIGH
AUDI,S6,MID-SIZE,4.0,8,AM7,Z,14.0,8.7,11.7,24,269,HIGH
AUDI,S7,MID-SIZE,4.0,8,AM7,Z,14.0,8.7,11.7,24,269,HIGH
AUDI,S8,MID-SIZE,4.0,8,AS8,Z,14.6,8.8,11.9,24,281,HIGH
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Z,14.1,9.9,12.2,23,281,HIGH
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Z,10.4,7.6,9.1,31,209,HIGH
